Sample_Name	Other_ID	Other_ID_2	Genus	Species	BreedCategory	BreedAbr.	Material	Element	Site_Region	Site_updated	Site	Country	Lat	Long	Age_Name_BP	Age info	Date_Maximum_BP	Date_Minimum_BP	BioProject	Accession	SeqPlatform	Age_note	Meta Population	mt Haplotype	Sex	Y_chr	Cov (reported)	CoverageX	CoverageRatio	Mean Depth	BoC %	Date Sequenced	Notes	Reference	Spcode	Site_Region	Age_Mean_BP	analysis-ID	Wolf-Dog_PCA	"Dog_PCA (European, Arctic+NA, East Asia, Near Eastern Africa)"
AustralianCattleDog01		AustralianCattleDog01	Canis	familiaris	Australian_Cattle_Dog	AUCD									0				PRJNA263947	SAMN03323677	Illumina HiSeq 2000		European_Dogs		F		28.3248	28.4261	0.99643637						D		0	AustralianCattleDog01	Dogs	European_Dogs
AustralianCattleDog02		AustralianCattleDog02	Canis	familiaris	Australian_Cattle_Dog	AUCD									0				PRJEB13468	SAMEA3928139	Illumina HiSeq 2000		European_Dogs		F		19.5888	19.9371	0.98253006						D		0	AustralianCattleDog02	Dogs	European_Dogs
AustralianCattleDog03		AustralianCattleDog03	Canis	familiaris	Australian_Cattle_Dog	AUCD									0				PRJEB16012	SAMEA4504820	Illumina HiSeq 2000		European_Dogs		M		20.4994	20.6019	0.99502473						D		0	AustralianCattleDog03	Dogs	European_Dogs
AustralianCattleDog04	AC023	AustralianCattleDog04	Canis	familiaris	Australian_Cattle_Dog	AUCD									0				PRJEB16012	SAMEA104091560	Illumina HiSeq 3000		European_Dogs				25.3688	14.1469	1.79324092						D		0	AustralianCattleDog04	Dogs	European_Dogs
AustralianCattleDog06	ERR2263463	AustralianCattleDog06	Canis	familiaris	Australian_Cattle_Dog	AUCD									0				PRJEB16012	SAMEA5657396	Illumina NovaSeq 6000		European_Dogs		M		21.4664	12.3833	1.73349592						D		0	AustralianCattleDog06	Dogs	European_Dogs
AustralianCattleDog07	CRR037840	AustralianCattleDog07_9994	Canis	familiaris	Australian_Cattle_Dog	AUCD									0				PRJNA648123	SAMN15625717	Illumina HiSeq 3000		European_Dogs		F		18.8861	10.5973	1.78216149						D		0	AustralianCattleDog07	Dogs	European_Dogs
AustralianCattleDog08	CRR037884	AustralianCattleDog08_25269	Canis	familiaris	Australian_Cattle_Dog	AUCD									0				PRJNA648123	SAMN15625718	Illumina HiSeq 3000		European_Dogs		F		18.5167	18.5487	0.99827481						D		0	AustralianCattleDog08	Dogs	European_Dogs
AustralianShepherd01		AustralianShepherd01_27104	Canis	familiaris	Australian_Shepherd	AUSS									0				PRJNA685036	SAMN17192043	Illumina NovaSeq 6000		European_Dogs		F		30.9697	30.7706	1.00647046						D		0	AustralianShepherd01	Dogs	European_Dogs
AustralianShepherd02		AustralianShepherd02_30713	Canis	familiaris	Australian_Shepherd	AUSS									0				PRJNA685036	SAMN17192044	Illumina NovaSeq 6000		European_Dogs		F		40.9241	40.5192	1.00999279						D		0	AustralianShepherd02	Dogs	European_Dogs
AustralianShepherd03		AustralianShepherd03_31260	Canis	familiaris	Australian_Shepherd	AUSS									0				PRJNA685036	SAMN17192045	Illumina NovaSeq 6000		European_Dogs		F		26.8512	26.6827	1.00631495						D		0	AustralianShepherd03	Dogs	European_Dogs
