Sample	Dog_PCA	Wolf_Dog_PCA
CeskyTerrier02_Reseq_33431	European_Dogs	European_Dogs
CeskyTerrier03_33463	European_Dogs	European_Dogs
CeskyTerrier04_31121	European_Dogs	European_Dogs
ChesapeakeBayRetriever01	European_Dogs	European_Dogs
ChesapeakeBayRetriever02_7292	European_Dogs	European_Dogs
ChesapeakeBayRetriever03_12347	European_Dogs	European_Dogs
ChesapeakeBayRetriever04	European_Dogs	European_Dogs
Chihuahua01_13131	Americas_Dogs	Americas_Dogs
Chihuahua03	Americas_Dogs	Americas_Dogs
Chihuahua05	Americas_Dogs	Americas_Dogs
Chihuahua06	Americas_Dogs	Americas_Dogs
ChineseCrested01	East_Asian_Dogs	East_Asian_Dogs
ChineseCrested05	East_Asian_Dogs	East_Asian_Dogs
ChineseCrested06	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog01	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog02	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog03	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog04	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog05	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog06	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog07	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog08	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog09	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog10	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog11	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog12	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog13	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog14	East_Asian_Dogs	East_Asian_Dogs
ChineseIndigenousDog15	East_Asian_Dogs	East_Asian_Dogs
ChineseSharpei01	East_Asian_Dogs	East_Asian_Dogs
ChineseSharpei02	East_Asian_Dogs	East_Asian_Dogs
ChineseSharpei03_11443	East_Asian_Dogs	East_Asian_Dogs
ChineseSharpei04_11447	East_Asian_Dogs	East_Asian_Dogs
ChineseSharpei05_11448	East_Asian_Dogs	East_Asian_Dogs
Chinook01	Americas_Dogs	Americas_Dogs
Chinook02_33140	Americas_Dogs	Americas_Dogs
